STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750315,28, , ,6,0700,9, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750316,38, , ,6,0700,9, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750317,42, , ,6,0700,30, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750318,55, , ,6,0700,35, ,I,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750319,58, , ,6,0700,42, ,I,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750320,62, , ,6,0700,35, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750321,61, , ,6,0700,37, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750322,70, , ,6,0700,43, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750323,58, , ,6,0700,32, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750324,62, , ,6,0700,34, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750325,51, , ,6,0700,26, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750326,29, , ,6,0700,23, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750327,36, , ,6,0700,23, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750328,32, , ,6,0700,25, , ,6,0700
GHCND:USC00128784,TIPTON 5 SW IN US,271.3,40.25,-85.98333,19750329,42, , ,6,0700,32, , ,6,0700
